FileName,gender,vowel,vocalEffort,f0,GIFmethod,OptimMethod,VTorder,VTzeros,GSorder,LipRad,DQ,PQ,RQ,STcompensation,a,b,timeLag,rmse,rmseMedian,rmseNormMedian,naqInf,naqMean,naqMedian,naqMedianSign,qoqInf,qoqMean,qoqMedian,qoqMedianSign,h1h2Mean,h1h2Median,h1h2MedianSign,hrfMean,hrfMedian,hrfMedianSign,hrfMeandB,hrfMediandB,hrfMedianSigndB,pspMean,pspMedian,pspMedianSign,spectralTiltInvFilter,spectralTiltGroundTruth,errorSpectralTiltMean,errorSpectralTiltMedian,errorSpectralTiltMedianSign,errorPeakSlopeMean,errorPeakSlopeMedian,errorPeakSlopeMedianSign,spectralDistMedian,spectralDistCompMedian
Female_AE_breathy_300Hz,Female,AE,breathy,300,QCP,grid-search,8,0,3,0.99,0.5,0.175,0.1,1,0.256738927823711,0.444447436397086,26,220.06072919266,220.181438308782,2.69956718938691,0,0.04518331592655,0.0449733995861175,-0.0449733995861175,0,0,0,0,0.254825003268153,0.254732915346437,0.254732915346437,0.115977106372058,0.115996433429924,-0.115996433429924,1.05186887401847,1.05204416318744,-1.05204416318744,0.00393811822949434,0.000309586271504323,0.000105158713582485,-17.615650890593,-33.9235371301628,16.3085636082152,16.3078862395698,-16.3078862395698,0,0,0,8.52585345474606,5.81075414822166
Female_AE_breathy_320Hz,Female,AE,breathy,320,QCP,grid-search,8,0,3,0.99,0.5,0.125,0,1,0.207814839427697,0.452654385342244,24,289.737655153883,280.330488837712,2.67163105860543,0,0.129892842330562,0.130119983714525,0.130119983714525,0,0,0,0,0.453007455099728,0.453078409983988,0.453078409983988,0.106356391086867,0.106357358503676,-0.106357358503676,0.899447468037638,0.899455649403986,-0.899455649403986,0.0329974762611613,0.0218528564458396,-0.0218528564458396,-17.9015154771633,-31.8634651879623,13.9622459230138,13.961949710799,-13.961949710799,0,0,0,9.59793845909671,6.95520854338263
Female_AE_breathy_340Hz,Female,AE,breathy,340,QCP,grid-search,8,0,3,0.99,0.5,0.125,0.05,1,0.159250817288404,0.46673032540469,23,396.727132805105,385.575208687791,2.59595816733207,0,0.0958092642284381,0.0960001697686763,0.0960001697686763,0,0.0999999999999999,0.0999999999999999,-0.0999999999999999,0.48122638183025,0.481092114417905,0.481092114417905,0.0884992537591202,0.0885287308713354,-0.0885287308713354,0.748362029311423,0.748611291882334,-0.748611291882334,0.023678860239099,0.025177438115145,0.0251547466052736,-25.5867697249294,-32.2967201765442,6.70285196548366,6.70995045161479,-6.70995045161479,0,0,0,8.8279481960445,5.93896150323932
Female_AE_breathy_360Hz,Female,AE,breathy,360,QCP,grid-search,12,0,3,0.91,0.45,0.2,0.05,1,0.362235006228426,0.3940096735009,15,213.958276067694,135.7676721833,6.07615708559342,0,0.663824366653073,0.715979140481855,0.715979140481855,0,0.729838709677419,0.875,0.875,1.65855206573471,0.854608706716029,-0.707724849497339,0.0564657028999982,0.034177803223432,-0.034177803223432,0.44523693632913,0.269686813176442,-0.269686813176442,1.54918880584508,1.89214716756285,-1.89214716756285,-23.38714039905,-30.8642436147091,10.428976799164,7.47710321565919,-7.47710321565919,0,0,0,4.64312791436586,4.3297764984227
Female_AE_breathy_80Hz,Female,AE,breathy,80,QCP,grid-search,14,0,3,0.99,0.8,0,0,1,0.0493841927880569,0.429237607023194,-4,1286.196225013,1271.77784885788,3.96976786876744,0,0.0776470444155954,0.0761755347259128,0.0761755347259128,0,0.12020905923345,0.121951219512195,-0.121951219512195,0.234460076181878,0.00103097437836652,-0.00103031951644539,0.373953037136639,0.367606018502966,-0.367606018502966,9.30049574266202,10.3310564158548,-10.3310564158548,0.169386188167215,0.100877099486531,-0.10085878590384,-15.7202480289551,-37.4423049027738,20.5712130634445,21.7220543477255,-21.7220543477255,0,0,0,13.0859439949269,10.6081426440759
Female_AE_creaky_100Hz,Female,AE,creaky,100,QCP,grid-search,13,0,3,0.99,0.8,0,0.2,1,0.244393378601246,0.205108658299651,-1,267.447946521588,263.307160598137,6.49497982454953,0,0.0424636539218453,0.0421349272111004,0.0421349272111004,0,0,0,0,0.0999399792913462,0.0865906294058405,-0.0865906294058405,0.0981776510782115,0.0983172147460775,-0.0983172147460775,3.04559579086954,3.09578083101555,-3.09578083101555,0.148913079714076,0.159753904116825,-0.159753904116825,-11.1678936416145,-25.8377539534631,14.6381036380544,14.6698603118486,-14.6698603118486,0,0,0,6.09654208359709,6.00168157320021
Female_AE_creaky_120Hz,Female,AE,creaky,120,QCP,grid-search,11,0,3,0.99,0.4,0,0.2,1,0.345492818165892,0.201007720306897,-1,166.508532194636,166.821343040394,5.91517557535985,0,0.055026287599764,0.0539907079349193,0.0539907079349193,0,0.0714285714285715,0.0714285714285715,-0.0714285714285715,0.0265898494212558,0.0220606446601934,-0.0220606446601934,0.0860267543007865,0.0852560703381712,-0.0852560703381712,2.25027733042214,2.26541888918423,-2.26541888918423,0.128144786492629,0.134832200117083,-0.134832200117083,-10.6004074559402,-24.4339916026678,13.9425617764383,13.8335841467276,-13.8335841467276,0,0,0,5.30821214351869,5.29613770366339
Female_AE_creaky_140Hz,Female,AE,creaky,140,QCP,grid-search,10,0,3,0.99,0.65,0,0.2,1,0.416204825992141,0.201928520659625,-1,137.682666270252,128.714513551488,5.90329748015396,0,0.0757199441834111,0.0751177234750207,0.0751177234750207,0,0.0833333333333333,0.0833333333333334,-0.0833333333333334,0.0123908541774006,0.00988811014755697,-0.00988811014755697,0.0739384451327424,0.0733214486710943,-0.0733214486710943,1.67138101538395,1.68618624694225,-1.68618624694225,0.195033913516683,0.165078208843499,-0.165078208843499,-9.9639346587286,-22.5917080707343,12.7450583497872,12.6277734120057,-12.6277734120057,0,0,0,4.69547504418377,5.13117566147656
Female_AE_creaky_160Hz,Female,AE,creaky,160,QCP,grid-search,14,0,3,0.99,0.4,0.05,0.2,1,0.480805638598441,0.208038315760107,-1,103.724531203988,104.946102266232,6.00237751163137,0,0.256628672992599,0.250622018948287,0.250622018948287,0,0.1,0.1,-0.1,0.115640343100623,0.106590682201279,-0.106590682201279,0.0812058431798671,0.079366627263358,-0.079366627263358,1.67442592129003,1.63650216254485,-1.63650216254485,0.171142365007037,0.136944800193465,-0.136944800193465,-8.67573258815462,-22.4000851628051,13.9732118455059,13.7243525746505,-13.7243525746505,0,0,0,4.7527374290419,4.38471263031114
Female_AE_creaky_180Hz,Female,AE,creaky,180,QCP,grid-search,10,0,3,0.99,0.4,0.05,0,1,0.483224438038681,0.211267167328701,-1,124.737390569021,105.974810788032,7.01910710766202,0,0.241198610418422,0.241339225649585,0.241339225649585,0,0.111111111111111,0.111111111111111,-0.111111111111111,0.0744826477794875,0.0754073390581667,0.0754073390581667,0.068671449223502,0.0686614792218032,-0.0686614792218032,1.26189111528904,1.26170790877883,-1.26170790877883,0.18189296365403,0.170650057148493,-0.170650057148493,-9.68249833665122,-21.1781296610399,11.5002832918918,11.4956313243887,-11.4956313243887,0,0,0,4.67291065232099,4.32094982045592
Female_AE_creaky_200Hz,Female,AE,creaky,200,QCP,grid-search,9,0,3,0.99,0.65,0,0.1,1,0.483426506398588,0.213668891682872,-1,112.090654968915,106.27789469317,8.06010392866764,0,0.0980923422237621,0.0978063203254364,0.0978063203254364,0,0.125,0.125,-0.125,0.0831882230536785,0.0832478008883726,0.0832478008883726,0.0721364841686136,0.072145031496678,-0.072145031496678,1.20665529913432,1.20679827364744,-1.20679827364744,0.528756411968532,0.308855720688234,-0.308855720688234,-8.35208054380672,-20.9983692879817,12.6450169068616,12.646288744175,-12.646288744175,0,0,0,3.92684105263659,4.16603403980196
Female_AE_creaky_220Hz,Female,AE,creaky,220,QCP,grid-search,9,0,3,0.99,0.7,0,0.1,1,0.574094646025644,0.214192328683583,-1,108.174483560801,86.1255990318072,9.29381688095762,0,0.118053754267603,0.11855444670562,0.11855444670562,0,0.142857142857143,0.142857142857143,-0.142857142857143,0.109008029720782,0.108991626661961,0.108991626661961,0.0639180236770768,0.0639249086572421,-0.0639249086572421,0.972734654273785,0.972839433151721,-0.972839433151721,0.352088589234356,0.331754190093329,-0.331754190093329,-7.44516995202469,-19.5203349398046,12.0720868863733,12.0751649877799,-12.0751649877799,0,0,0,3.46440972365214,3.63108333917045
Female_AE_creaky_240Hz,Female,AE,creaky,240,QCP,grid-search,14,0,3,0.99,0.55,0.05,0,1,0.56561412882529,0.213803321893118,-1,106.690327995841,86.433128499329,8.60234892631773,0,0.310518600929051,0.291105316333872,0.291105316333872,0,0.162790697674419,0.166666666666667,-0.166666666666667,0.180165471807731,0.0913038717209389,0.0912451246090882,0.0597325296960754,0.0584457455100939,-0.0584457455100939,0.85996295499378,0.841437258247863,-0.841437258247863,0.0820708766034397,0.0256361093106312,-0.0256361093106312,-8.57975267933122,-19.0614710790139,11.1161903068146,10.4817183996827,-10.4817183996827,0,0,0,3.71423496605356,3.28892558825152
Female_AE_creaky_260Hz,Female,AE,creaky,260,QCP,grid-search,9,0,3,0.99,0.6,0,0.2,1,0.826015191633792,0.220604637874919,-1,63.2665461651114,61.5525446261051,11.5787033140494,0,0.173602623047245,0.173237720558086,0.173237720558086,0,0.166666666666667,0.166666666666667,-0.166666666666667,0.155898829395822,0.158587936192902,0.158587936192902,0.060842290998132,0.0607862421443447,-0.0607862421443447,0.770757948186037,0.770047914115417,-0.770047914115417,0.475240921675628,0.370158416183498,-0.370158416183498,-6.87140136860813,-19.4749503855325,12.6164043512806,12.6035490169244,-12.6035490169244,0,0,0,2.7497753219565,2.84640918131421
Female_AE_creaky_280Hz,Female,AE,creaky,280,QCP,grid-search,14,0,3,0.98,0.5,0.025,0,1,0.713287382219641,0.223333349589086,28,88.4351525437742,69.5210503328513,12.4698451271245,0,0.180679006273203,0.182030292257386,0.182030292257386,0,0,0,0,0.521089388731692,0.499578698050868,-0.499578698050868,0.0606893148536238,0.0610286635574405,-0.0610286635574405,0.722002632597069,0.726039762660491,-0.726039762660491,0.738140893123175,0.782197876291374,-0.782197876291374,-5.25672096326445,-17.8079326557266,12.5315589579003,12.5512116924622,-12.5512116924622,0,0,0,2.91569223455701,2.96858623675094
Female_AE_creaky_300Hz,Female,AE,creaky,300,QCP,grid-search,12,0,3,0.97,0.45,0.025,0,1,0.734642651089355,0.225500509688574,26,81.4905801931178,68.3528698689427,11.6435849999747,0,0.22328346232034,0.225104901578163,0.225104901578163,0,0,0,0,0.498623064752879,0.468247493836429,-0.468247493836429,0.0453200449553267,0.0458558046907927,-0.0458558046907927,0.502611218932234,0.508552935317617,-0.508552935317617,0.450648889359571,0.445979356657974,-0.445979356657974,-7.1663586964995,-16.5333096436069,9.33334720856986,9.36695094710737,-9.36695094710737,0,0,0,2.36594043570744,2.31518069884549
Female_AE_creaky_320Hz,Female,AE,creaky,320,QCP,grid-search,9,0,3,0.98,0.4,0.075,0,1,0.750200763014505,0.233678408130995,-26,108.153778481302,70.670161713556,14.5819172521239,0,0.0259124650626542,0.00534357454863109,-0.00534341088354614,0,0.193103448275862,0.2,-0.2,0.160579568604104,0.101353235042723,0.101353235042723,0.0481421215828681,0.0457274542782619,-0.0457274542782619,0.490316915388307,0.465724060201284,-0.465724060201284,2.48600457837979,0.686954787575127,-0.686954787575127,-7.15897120100729,-16.7738403664023,9.99595306788079,9.61486916539497,-9.61486916539497,0,0,0,2.25087363121657,2.29170742405651
