FileName,gender,vowel,vocalEffort,f0,GIFmethod,OptimMethod,VTorder,VTzeros,GSorder,LipRad,DQ,PQ,RQ,STcompensation,a,b,timeLag,rmse,rmseMedian,rmseNormMedian,naqInf,naqMean,naqMedian,naqMedianSign,qoqInf,qoqMean,qoqMedian,qoqMedianSign,h1h2Mean,h1h2Median,h1h2MedianSign,hrfMean,hrfMedian,hrfMedianSign,hrfMeandB,hrfMediandB,hrfMedianSigndB,pspMean,pspMedian,pspMedianSign,spectralTiltInvFilter,spectralTiltGroundTruth,errorSpectralTiltMean,errorSpectralTiltMedian,errorSpectralTiltMedianSign,errorPeakSlopeMean,errorPeakSlopeMedian,errorPeakSlopeMedianSign,spectralDistMedian,spectralDistCompMedian
Female_AE_breathy_300Hz,Female,AE,breathy,300,QCP,grid-search,12,0,3,0.98,0.75,0,0.15,0,0.233325646020508,0.432518542226896,26,238.170045006542,241.444600607832,2.36661608827182,0,0.0408592599390107,0.04052770799989,-0.04052770799989,0,0,0,0,0.235741549530043,0.237235585553393,-0.237235585553393,0.10495683652999,0.10497119409433,-0.10497119409433,0.951919158141188,0.952049375866986,-0.952049375866986,0.0407214276150574,0.0387151670962145,-0.0387151670962145,-20.188475566323,-33.9235371301628,13.7360080736806,13.7350615638398,-13.7350615638398,0,0,0,8.81924945319751,5.7364397377344
Female_AE_breathy_320Hz,Female,AE,breathy,320,QCP,grid-search,14,0,3,0.96,0.7,0,0.05,0,0.175539323300886,0.432454830080248,24,321.344669643744,331.640054284731,2.22201761423391,0,0.0665855624702364,0.0667397175468913,0.0667397175468913,0,0.00159489633173844,0,0,0.63694200145347,0.630736649673494,-0.630736649673494,0.0822772595558367,0.0823091904270004,-0.0823091904270004,0.695812184188626,0.696082221004721,-0.696082221004721,0.064754153952077,0.0620992249404005,-0.0620992249404005,-22.4969606053746,-31.8634651879623,9.36814955781511,9.36650458258771,-9.36650458258771,0,0,0,10.0108088756658,6.7383723361874
Female_AE_breathy_340Hz,Female,AE,breathy,340,QCP,grid-search,14,0,3,0.96,0.75,0,0.2,0,0.148488282299984,0.430622714379784,23,396.830507475344,402.349847759269,2.32135039141857,0,0.0523835791093044,0.0525202820083044,0.0525202820083044,0,0.0999999999999999,0.0999999999999999,-0.0999999999999999,0.159725022162198,0.160470350279638,0.160470350279638,0.0786882346165302,0.078686694647528,-0.078686694647528,0.665398683483152,0.66538566129055,-0.66538566129055,0.0156437296610969,0.0157569335772835,0.0157566203848994,-25.834071933204,-32.2967201765442,6.46551143305209,6.4626482433402,-6.4626482433402,0,0,0,8.79400153487506,5.95756564409543
Female_AE_breathy_360Hz,Female,AE,breathy,360,QCP,grid-search,8,0,3,0.98,0.9,0.025,0,0,0.235682756837131,0.433798782754776,22,242.278444046253,236.446844832819,6.44944499556205,0,0.426519557498512,0.428214936183842,0.428214936183842,0,0.124327956989247,0.125,0.125,0.473786569736657,0.449919596067403,-0.449919596067403,0.0752218684325914,0.0747080169105545,-0.0747080169105545,0.593319990325979,0.589498595554148,-0.589498595554148,0.168824324680707,0.170770544815578,0.170770544815578,-22.3293162719983,-30.8642436147091,8.55349894851718,8.53492976384804,-8.53492976384804,0,0,0,4.18978079131178,5.99166616528891
Female_AE_breathy_80Hz,Female,AE,breathy,80,QCP,grid-search,14,0,3,0.99,0.8,0,0,0,0.0430319438473225,0.429263398657622,-4,1484.53698522251,1468.27884598096,4.05700065366056,0,0.0557351262083557,0.0542511800979095,0.0542511800979095,0,0.12020905923345,0.121951219512195,-0.121951219512195,0.229600468340428,0.00711711559227979,-0.00711202610197859,0.360131426162855,0.353917709208677,-0.353917709208677,8.95575455709969,9.94636550101921,-9.94636550101921,0.167519985270308,0.100978501896276,-0.100930158668023,-17.7800754747212,-37.4423049027738,18.6452889372298,19.6622294280525,-19.6622294280525,0,0,0,13.5220761018293,10.5888066679687
Female_AE_creaky_100Hz,Female,AE,creaky,100,QCP,grid-search,14,0,3,0.99,0.6,0.05,0.2,0,0.217305998554216,0.20684480641861,-1,310.440898568445,305.777823860409,6.2202038926934,0,0.021520976507222,0.0221471070181485,0.0221471070181485,0,0.0163398692810458,0,0,0.0879001334101493,0.0785720051882421,-0.0785720051882421,0.0878277875400148,0.0873223997968289,-0.0873223997968289,2.72801637295419,2.74957963473111,-2.74957963473111,0.136010979839807,0.147603980604556,-0.147603980604556,-14.0531125631777,-25.8377539534631,11.6526558271919,11.7846413902854,-11.7846413902854,0,0,0,6.97991947710469,5.95083793229687
Female_AE_creaky_120Hz,Female,AE,creaky,120,QCP,grid-search,14,0,3,0.99,0.5,0.05,0,0,0.315066788310503,0.19884794154571,-1,189.153684430464,189.344935993113,5.39815427428618,0,0.0414271924102797,0.0415939092452362,0.0415939092452362,0,0.0811688311688312,0.0714285714285715,-0.0714285714285715,0.0744945781848317,0.0805680023881123,-0.0805680023881123,0.0782073785119796,0.0765473701494818,-0.0765473701494818,2.04817510024467,2.03393306813404,-2.03393306813404,0.120697328053652,0.102843094097348,-0.102843094097348,-12.8932087170029,-24.4339916026678,11.4772809724174,11.5407828856649,-11.5407828856649,0,0,0,5.93908961831388,5.2639978195219
Female_AE_creaky_140Hz,Female,AE,creaky,140,QCP,grid-search,14,0,3,0.99,0.6,0.075,0.05,0,0.396555099901073,0.196537975728318,-1,149.780898648844,137.857364305558,5.31007157450147,0,0.0714626771276849,0.070617642475083,0.070617642475083,0,0.0833333333333333,0.0833333333333334,-0.0833333333333334,0.111270974948518,0.108989440339016,-0.108989440339016,0.0695983220795551,0.0688547698477932,-0.0688547698477932,1.57460859326972,1.58345825862576,-1.58345825862576,0.145158351878868,0.093953944347255,-0.093953944347255,-11.5121087965357,-22.5917080707343,11.0792669249221,11.079856214908,-11.079856214908,0,0,0,5.00265914094362,5.1213470469689
Female_AE_creaky_160Hz,Female,AE,creaky,160,QCP,grid-search,14,0,3,0.99,0.75,0.025,0.1,0,0.416876764509359,0.207545711009628,-1,129.658398182711,128.745174839801,5.31659447474916,0,0.179556066311488,0.179381467202642,0.179381467202642,0,0.1,0.1,-0.1,0.100923205170729,0.102326590133416,-0.102326590133416,0.064395434356641,0.0643617644595488,-0.0643617644595488,1.32780327470601,1.32710901741797,-1.32710901741797,0.0624417664123679,0.0586801329156646,-0.0586801329156646,-12.6399054754281,-22.4000851628051,9.76097600076389,9.76017968737709,-9.76017968737709,0,0,0,5.23365423039909,4.2201485216026
Female_AE_creaky_180Hz,Female,AE,creaky,180,QCP,grid-search,14,0,3,0.99,0.8,0.025,0.2,0,0.444928018504627,0.210387624661235,-1,140.284460830662,118.838468429836,6.24664223131814,0,0.206548316056313,0.206791778114409,0.206791778114409,0,0.111111111111111,0.111111111111111,-0.111111111111111,0.117069340343417,0.117073699641544,-0.117073699641544,0.0594301813160163,0.0594011370767086,-0.0594011370767086,1.09207565342937,1.09154194301628,-1.09154194301628,0.0845907392327314,0.0650886405389471,-0.0650886405389471,-11.7853920156394,-21.1781296610399,9.39558039390629,9.39273764540043,-9.39273764540043,0,0,0,4.95674644117739,4.2392997008592
