FileName,gender,vowel,vocalEffort,f0,GIFmethod,OptimMethod,VTorder,VTzeros,GSorder,LipRad,HPflag,Niter_IOP_IAIF,a,b,timeLag,rmse,rmseMedian,rmseNormMedian,naqInf,naqMean,naqMedian,naqMedianSign,qoqInf,qoqMean,qoqMedian,qoqMedianSign,h1h2Mean,h1h2Median,h1h2MedianSign,hrfMean,hrfMedian,hrfMedianSign,hrfMeandB,hrfMediandB,hrfMedianSigndB,pspMean,pspMedian,pspMedianSign,spectralTiltInvFilter,spectralTiltGroundTruth,errorSpectralTiltMean,errorSpectralTiltMedian,errorSpectralTiltMedianSign,errorPeakSlopeMean,errorPeakSlopeMedian,errorPeakSlopeMedianSign,spectralDistMedian,spectralDistCompMedian
Female_AE_breathy_100Hz,Female,AE,breathy,100,IOP-IAIF,grid-search,7,0,4,0.99,0,3,0.116915563864619,0.421199266050522,-4,508.624276040811,504.129322462959,4.67857756882,0,0.19667312942457,0.194390382612762,0.194390382612762,0,0.0555555555555556,0.0588235294117648,-0.0588235294117648,0.0888887218947395,0.0721602787542608,0.0721602787542608,0.36957053238769,0.369307847303737,-0.369307847303737,8.76064586105836,8.75888612790872,-8.75888612790872,0.187399503491635,0.167556977125128,-0.167556977125128,-10.0114541121183,-36.7734524366529,26.7275956187328,26.7619983245346,-26.7619983245346,0,0,0,10.6014173679666,10.3673206808819
Female_AE_breathy_120Hz,Female,AE,breathy,120,IOP-IAIF,grid-search,6,0,5,0.99,0,3,0.1380529241225,0.430019837287907,-3,419.259548545201,422.839484816745,4.06364346182625,0,0.0463559719445417,0.0467102892344356,-0.0467102892344356,0,0.0714285714285715,0.0714285714285715,-0.0714285714285715,0.0883147098234326,0.0886982089578225,0.0886982089578225,0.303327667512177,0.303453024016928,-0.303453024016928,6.16294805825391,6.16549502547876,-6.16549502547876,0.113289641660638,0.109141326819543,-0.109141326819543,-11.0574195583929,-36.8662501404756,25.8028239337029,25.8088305820827,-25.8088305820827,0,0,0,9.70907336503105,8.92521926020433
Female_AE_breathy_140Hz,Female,AE,breathy,140,IOP-IAIF,grid-search,7,0,6,0.99,0,3,0.12114514203167,0.428686050367806,-2,493.979288125488,492.838117285801,5.48775670114124,0,0.142162299227091,0.141702708947097,0.141702708947097,0,0.130434782608696,0.130434782608696,-0.130434782608696,0.00620918347626059,0.00664208667976141,0.00664208667976141,0.266536356978874,0.266490705875534,-0.266490705875534,4.78369075692881,4.78287142870069,-4.78287142870069,0.097668141313451,0.0927812301933244,-0.0927812301933244,-10.8650407995698,-35.0153838020261,24.1518126387782,24.1503430024563,-24.1503430024563,0,0,0,9.78567642989202,8.87744102009337
Female_AE_breathy_160Hz,Female,AE,breathy,160,IOP-IAIF,grid-search,6,0,4,0.99,0,3,0.259676649751494,0.433997921856779,-3,208.15241323357,206.542583574112,7.89032006837242,0,0.31824347131408,0.317434947807022,0.317434947807022,0,0.00156739811912226,0,0,0.0320681978216353,0.0313329564143174,-0.0313329564143174,0.288173440571888,0.288138279108744,-0.288138279108744,4.67090219998168,4.67033228016107,-4.67033228016107,0.168264637717948,0.164353684152554,-0.164353684152554,-8.09851223680861,-35.2593919536331,27.1674502180201,27.1608797168245,-27.1608797168245,0,0,0,8.45142001480603,8.92565023886771
Female_AE_breathy_180Hz,Female,AE,breathy,180,IOP-IAIF,grid-search,7,0,6,0.99,0,3,0.197146796242024,0.435396401615444,-2,285.452612627734,288.078326346664,5.24754040941885,0,0.115796907313301,0.114395922070534,0.114395922070534,0,0.0526315789473684,0.0526315789473684,-0.0526315789473684,0.279867362559419,0.268955537048072,0.268955537048072,0.239894956122018,0.238642603760907,-0.238642603760907,3.47174297791759,3.48667552065087,-3.48667552065087,0.171746654038721,0.158908420607129,-0.158908420607129,-9.61808495854309,-34.3795330034554,24.8479724193618,24.7614480449124,-24.7614480449124,0,0,0,8.74966563853208,8.15180754091253
Female_AE_breathy_200Hz,Female,AE,breathy,200,IOP-IAIF,grid-search,7,0,6,0.99,0,3,0.233310811868079,0.439749598795257,-2,233.003574674191,236.717145260036,6.68906200173589,0,0.253379008497112,0.251794443235994,0.251794443235994,0,0,0,0,0.237102623358258,0.233881298182652,-0.233881298182652,0.230700037376529,0.230221745978589,-0.230221745978589,3.09404431703713,3.08762968963389,-3.08762968963389,0.150933551559238,0.157186914996733,-0.157186914996733,-8.98729503680403,-34.1519793068017,25.1910015358777,25.1646842699977,-25.1646842699977,0,0,0,8.87685333580863,8.7083610006512
Female_AE_breathy_220Hz,Female,AE,breathy,220,IOP-IAIF,grid-search,8,0,3,0.98,0,3,0.21274491717037,0.427743715344379,-2,263.268548488753,265.388832661601,5.68209572204753,0,0.158666407311729,0.158047598519985,0.158047598519985,0,0.0625,0.0625,-0.0625,0.149571021176362,0.146048042674181,0.146048042674181,0.165031852963673,0.165007370699204,-0.165007370699204,2.03080463749098,2.03050337021847,-2.03050337021847,0.0783953079481155,0.0776115973000542,-0.0776115973000542,-13.3948949226653,-33.2217831286642,19.8222533319637,19.8268882059989,-19.8268882059989,0,0,0,9.6044117257743,7.83268705567222
Female_AE_breathy_240Hz,Female,AE,breathy,240,IOP-IAIF,grid-search,6,0,6,0.99,0,2,0.323151125941292,0.431692300874306,-2,166.342025778582,163.871586219732,14.5704557354706,0,0.408196043201623,0.407256918656564,0.407256918656564,0,0.0714285714285715,0.0714285714285715,-0.0714285714285715,0.424491593074359,0.42586640918789,0.42586640918789,0.244404866467109,0.244173588693912,-0.244173588693912,2.85549678728936,2.85279466049507,-2.85279466049507,0.624625971251458,0.635025040411672,-0.635025040411672,-6.39022805525555,-33.1266506547242,26.7493196710169,26.7364225994687,-26.7364225994687,0,0,0,7.68371650972683,7.66651259680035
Female_AE_breathy_260Hz,Female,AE,breathy,260,IOP-IAIF,grid-search,7,0,6,0.98,0,4,0.468954131833131,0.429351773640724,-2,117.539118586253,111.478926182544,12.205243623994,0,0.228204198415851,0.22868575262584,0.22868575262584,0,0.076923076923077,0.076923076923077,0.076923076923077,0.896883192567808,0.896317356336937,-0.896317356336937,0.207235984639708,0.207497719194592,-0.207497719194592,2.15614716309091,2.15887033020388,-2.15887033020388,0.331044172000157,0.331531908884851,-0.331531908884851,-5.17823353732783,-33.1239395752455,27.9302604900078,27.9457060379176,-27.9457060379176,0,0,0,6.40294171458714,6.43694246168824
Female_AE_breathy_280Hz,Female,AE,breathy,280,IOP-IAIF,grid-search,8,0,4,0.99,0,3,0.227184717187344,0.449815899691842,-30,251.202075155101,252.461068432853,6.80389612400724,0,0.0575700695263536,0.0582898353907435,0.0582898353907435,0,0,0,0,0.409150566645586,0.408211289809714,-0.408211289809714,0.132638709846782,0.133726264451153,-0.133726264451153,1.30060926964604,1.31127345358847,-1.31127345358847,0.0934818707494646,0.0952703341986869,-0.0952703341986869,-12.479110030046,-31.9773457685753,19.422880850271,19.4982357385293,-19.4982357385293,0,0,0,7.4826377567381,5.97452792394655
