FileName,gender,vowel,vocalEffort,f0,GIFmethod,OptimMethod,VTorder,VTzeros,GSorder,LipRad,HPflag,a,b,timeLag,rmse,rmseMedian,rmseNormMedian,naqInf,naqMean,naqMedian,naqMedianSign,qoqInf,qoqMean,qoqMedian,qoqMedianSign,h1h2Mean,h1h2Median,h1h2MedianSign,hrfMean,hrfMedian,hrfMedianSign,hrfMeandB,hrfMediandB,hrfMedianSigndB,pspMean,pspMedian,pspMedianSign,spectralTiltInvFilter,spectralTiltGroundTruth,errorSpectralTiltMean,errorSpectralTiltMedian,errorSpectralTiltMedianSign,errorPeakSlopeMean,errorPeakSlopeMedian,errorPeakSlopeMedianSign,spectralDistMedian,spectralDistCompMedian
Male_O_breathy_120Hz,Male,O,breathy,120,Original-IAIF,grid-search,7,0,6,0.99,0,0.680773511809205,0.430013213607121,-2,79.6331404493204,83.5185819695988,2.95092192659409,0,0.0630592681632115,0.0642943901918089,-0.0642943901918089,0,0.10374149659864,0.107142857142857,-0.107142857142857,0.0680492484905427,0.0683280283751628,0.0683280283751628,0.161606013054463,0.161492440183985,-0.161492440183985,3.28347714708937,3.28116959727922,-3.28116959727922,0.0753650531451607,0.0744104703197815,-0.0744104703197815,-19.1825065232787,-36.8662501404756,17.6837456398754,17.6837436171969,-17.6837436171969,0,0,0,4.9274351651658,2.46729409184124
Male_O_breathy_140Hz,Male,O,breathy,140,Original-IAIF,grid-search,14,0,4,0.99,0,1.15241312168745,0.429015067632216,-2,76.8899667864314,77.2069423116198,3.32006039895882,0,0.0596980893823203,0.0646065499476851,0.0646065499476851,0,0.118260869565217,0.130434782608696,-0.130434782608696,0.180799289933802,0.114963016107026,-0.0770994635161912,0.15233329402937,0.151257788896244,-0.151257788896244,2.73401864901522,2.71471590164266,-2.71471590164266,0.0637539354056864,0.068285414850354,-0.068285414850354,-16.9807445598077,-35.0153838020261,18.0253163656734,18.0346392422183,-18.0346392422183,0,0,0,3.04844245750958,1.99661100207626
Male_O_breathy_160Hz,Male,O,breathy,160,Original-IAIF,grid-search,10,0,6,0.99,0,1.05202479086285,0.435701306412672,-2,80.370526004321,77.6155322392959,3.0992636542395,0,0.0906498553415475,0.0900988207231197,0.0900988207231197,0,0.0454545454545455,0.0454545454545455,-0.0454545454545455,0.0990732913199841,0.0951269149642968,-0.0951269149642968,0.157369150104741,0.157238685404273,-0.157238685404273,2.55074134512446,2.54862668856477,-2.54862668856477,0.0622011107935386,0.0624517867953097,-0.0624517867953097,-17.7873334994888,-35.2593919536331,17.4791890000507,17.4720584541443,-17.4720584541443,0,0,0,4.72641160915306,2.515633321396
Male_O_breathy_180Hz,Male,O,breathy,180,Original-IAIF,grid-search,8,0,4,0.99,0,0.838970665509191,0.436253853432588,-1,82.33067840822,80.3334663520909,4.12796658008629,0,0.0152393920723382,0.0151383235838591,0.0151349721662846,0,0.00328947368421052,0,0,0.476539696904888,0.478489239235628,-0.478489239235628,0.0771520388151243,0.0778008110425472,-0.0778008110425472,1.12724613141001,1.13672515483907,-1.13672515483907,0.097937952356371,0.0946400262868494,-0.0946400262868494,-21.8794418494582,-34.3795330034554,12.4383036538389,12.5000911539972,-12.5000911539972,0,0,0,4.13158973252984,1.77365154680427
Male_O_breathy_200Hz,Male,O,breathy,200,Original-IAIF,grid-search,10,0,3,0.99,0,1.43080507916313,0.440884511330476,-1,81.7529105317661,80.0890529846819,3.9724546799676,0,0.0664552983666321,0.0668742343794202,0.0668742343794202,0,0.00980392156862746,0,0,0.24737366902566,0.230953564818535,0.230953564818535,0.0898982500153231,0.0897704832075699,-0.0897704832075699,1.20567457523868,1.20396102473418,-1.20396102473418,0.0221020446419379,0.0155815663497339,-0.0155815663497339,-18.1193319159199,-34.1519793068017,16.0246704070903,16.0326473908818,-16.0326473908818,0,0,0,4.1784913143813,2.03709951367931
Male_O_breathy_220Hz,Male,O,breathy,220,Original-IAIF,grid-search,8,0,6,0.98,0,0.721346159764382,0.427267086254657,-1,83.2438865643772,82.7861669080842,4.37152318830933,0,0.0443721077555257,0.0447805321714948,-0.0447805321714948,0,0.0625,0.0625,-0.0625,0.640474817795569,0.650096714666418,0.650096714666418,0.0414675867303862,0.0413695986742907,-0.0413695986742907,0.510280687790404,0.509074892695919,-0.509074892695919,0.0341800478755777,0.031509764241282,-0.031509764241282,-24.5119289916933,-33.2217831286642,8.66662386141033,8.70985413697087,-8.70985413697087,0,0,0,6.25268925139509,2.36878241097302
Male_O_breathy_240Hz,Male,O,breathy,240,Original-IAIF,grid-search,8,0,5,0.99,0,0.979314221933382,0.433932710566204,-1,80.5294603898834,78.8413420445876,5.90533545495691,0,0.0549265748152639,0.0546135467404191,0.0546135467404191,0,0.0799319727891157,0.0714285714285715,-0.0714285714285715,0.267192392305666,0.259144420355369,-0.259144420355369,0.0614051152515162,0.0610650387896122,-0.0610650387896122,0.717424787232845,0.713451514284409,-0.713451514284409,0.199632565893982,0.186259804950933,-0.186259804950933,-26.1267098342042,-33.1266506547242,7.001358274329,6.99994082052004,-6.99994082052004,0,0,0,4.16959995763828,1.65984222421863
Male_O_breathy_260Hz,Male,O,breathy,260,Original-IAIF,grid-search,8,0,4,0.98,0,1.49750577845563,0.430845459223292,-1,80.6302510265982,80.0939187869434,8.66951221784084,0,0.0610086241763465,0.0599009407936531,0.0599009407936531,0,0.0769230769230769,0.0769230769230769,-0.0769230769230769,5.03115885111384,4.96504566844263,-4.96504566844263,0.0654975227058349,0.0659789667922128,-0.0659789667922128,0.681456446944732,0.686465539853163,-0.686465539853163,0.622910407798834,0.618094037236764,-0.618094037236764,-19.5749213070428,-33.1239395752455,13.5037337132436,13.5490182682026,-13.5490182682026,0,0,0,3.36838766696917,1.9728115077162
Male_O_breathy_280Hz,Male,O,breathy,280,Original-IAIF,grid-search,7,0,3,0.99,0,2.92117519173106,0.449412693973159,-30,88.6996500813402,88.7113529965492,10.2904822280133,0,0.154222234306146,0.150377775128137,0.150377775128137,0,0.161666666666667,0.166666666666667,-0.166666666666667,8.15985019677641,8.03202137453797,-8.03202137453797,0.0690982088330179,0.069747011577088,-0.069747011577088,0.677540892235819,0.683915049325034,-0.683915049325034,0.663135847163808,0.658916132794876,-0.658916132794876,-12.1384151914819,-31.9773457685753,19.8648612327409,19.8389305770935,-19.8389305770935,0,0,0,2.53590616142196,3.67425549081061
Male_O_breathy_300Hz,Male,O,breathy,300,Original-IAIF,grid-search,14,0,3,0.97,0,2.14957042618856,0.423584882209317,-1,84.4801938329429,84.0276457135411,12.7611062499948,0,0.1112104957695,0.0683180622189737,-0.0682703409093344,0,0.0251572327044025,0,0,15.2062727000679,14.3661640237817,-14.3661640237817,0.00990735195468324,0.00885296571228296,-0.00883320508438268,0.0898559678808134,0.0802930799603629,-0.0801138584737302,0.912860954460381,0.897474114388157,-0.897474114388157,-14.3211338470514,-33.9235371301628,19.5786910789141,19.6024032831114,-19.6024032831114,0,0,0,3.27725128389571,3.15574318458038
