FileName,gender,vowel,vocalEffort,f0,GIFmethod,OptimMethod,VTorder,VTzeros,GSorder,LipRad,a,b,timeLag,rmse,rmseMedian,rmseNormMedian,naqInf,naqMean,naqMedian,naqMedianSign,qoqInf,qoqMean,qoqMedian,qoqMedianSign,h1h2Mean,h1h2Median,h1h2MedianSign,hrfMean,hrfMedian,hrfMedianSign,hrfMeandB,hrfMediandB,hrfMedianSigndB,pspMean,pspMedian,pspMedianSign,spectralTiltInvFilter,spectralTiltGroundTruth,errorSpectralTiltMean,errorSpectralTiltMedian,errorSpectralTiltMedianSign,errorPeakSlopeMean,errorPeakSlopeMedian,errorPeakSlopeMedianSign,spectralDistMedian,spectralDistCompMedian
Female_I_normal_200Hz,Female,I,normal,200,GFM-IAIF,grid-search,7,0,3,0.97,0.89588003973066,0.276298647556479,-2,78.7381100769368,70.4200910544595,34.6556417050635,0,0.481588225148355,0.484786055358641,0.484786055358641,0,0.366161616161616,0.363636363636364,-0.363636363636364,11.4295563125975,11.3412992305972,-11.3412992305972,0.122932001756212,0.1240877420152,-0.1240877420152,1.90190974664059,1.91979047445557,-1.91979047445557,1.90617118067991,1.91075712048362,-1.91075712048362,-5.78183867852314,-25.0164759753082,19.0724212083522,19.2346372967851,-19.2346372967851,0,0,0,4.43951857641923,3.82148858275422
Female_I_normal_220Hz,Female,I,normal,220,GFM-IAIF,grid-search,7,0,3,0.99,1.02584565233341,0.275283358719433,-1,73.9187899852507,69.072722448087,31.9263100471277,0,0.546031441950618,0.552501781860757,0.552501781860757,0,0.00256410256410256,0,0,14.0397833176729,14.038095517246,-14.038095517246,0.107919278776349,0.109406839777602,-0.109406839777602,1.5179174531503,1.5388404507095,-1.5388404507095,1.82213524216716,1.81788198308831,-1.81788198308831,-1.57642146195375,-24.6665122813478,22.8223981786885,23.0900908193941,-23.0900908193941,0,0,0,4.49991929782254,3.75208703377708
Female_I_normal_240Hz,Female,I,normal,240,GFM-IAIF,grid-search,6,0,3,0.98,1.40348872722286,0.276630867104009,-2,76.9143033748582,72.1027446192161,31.7509137599886,0,0.66879250882921,0.670802818737057,0.670802818737057,0,0.1,0.1,0.1,9.04894589500116,9.00589437275137,-9.00589437275137,0.137395196299463,0.137743712544295,-0.137743712544295,1.82927272234851,1.83391285007595,-1.83391285007595,2.36708707151865,2.3579605498587,-2.3579605498587,1.87577000834075,-24.4933685169627,26.3269804502382,26.3691385253034,-26.3691385253034,0,0,0,4.60977963001789,4.48652429909635
Female_I_normal_260Hz,Female,I,normal,260,GFM-IAIF,grid-search,6,0,3,0.98,1.71024744433073,0.274214222708131,29,80.1885333671638,73.860841859052,28.7489468039416,0,0.716015296261366,0.716670687021981,0.716670687021981,0,0.222222222222222,0.222222222222222,0.222222222222222,0.45285516473658,0.458403560686243,-0.458403560686243,0.169872750204902,0.169901768549551,-0.169901768549551,1.99574907374855,1.99608999561145,-1.99608999561145,2.49426167706129,2.54132149448671,-2.54132149448671,4.67776143731926,-25.1830564915176,29.844958461155,29.8608179288369,-29.8608179288369,0,0,0,5.30881919200185,4.92819942560357
Female_I_normal_280Hz,Female,I,normal,280,GFM-IAIF,grid-search,6,0,3,0.99,1.39657843058798,0.280796773921789,27,84.4957837568044,78.2633314737546,44.1602465211563,0,0.720849481288477,0.721288426327324,0.721288426327324,0,0.25,0.25,0.25,4.90338635807764,4.89160946455635,4.89160946455635,0.210871249150859,0.210823089969254,-0.210823089969254,2.31555760421874,2.31502877271786,-2.31502877271786,5.81250183227171,5.81143947063297,-5.81143947063297,6.89333156956804,-25.2228896815925,32.1153961176532,32.1162212511606,-32.1162212511606,0,0,0,5.49238070230908,5.43106245853069
Female_I_normal_300Hz,Female,I,normal,300,GFM-IAIF,grid-search,9,0,3,0.99,1.19245210005448,0.278541856939501,24,99.4954185341385,80.7787353950922,51.0789814606888,0,0.703934772830032,0.703805754366668,0.703805754366668,0,0.245283018867925,0.25,0.25,4.73493523991019,4.80899466848973,4.80899466848973,0.210112255511457,0.210412735686468,-0.210412735686468,2.15549181535129,2.15857437022814,-2.15857437022814,7.52172494524705,7.64108376649681,-7.64108376649681,3.0613575139748,-23.8770683987554,27.0074322141943,26.9384259127302,-26.9384259127302,0,0,0,4.78259810772926,4.6701774387406
Female_I_normal_320Hz,Female,I,normal,320,GFM-IAIF,grid-search,7,0,3,0.99,1.32661569876456,0.293785520183694,-2,95.7841482728754,89.7785770326835,62.1360126919789,0,0.754644804518149,0.757006374392664,0.757006374392664,0,0.428571428571429,0.428571428571429,0.428571428571429,13.1803237357744,13.0873033913764,13.0873033913764,0.309610506957289,0.308952710760194,-0.308952710760194,2.93099019471933,2.92476303459238,-2.92476303459238,10.6033757235629,10.5232691352861,-10.5232691352861,9.27050232062145,-23.636820934648,32.8693296455345,32.9073232552695,-32.9073232552695,0,0,0,5.16384867258922,4.59707120829654
Female_I_normal_340Hz,Female,I,normal,340,GFM-IAIF,grid-search,9,0,3,0.99,1.13559141747311,0.284578073888572,-26,99.7071481619741,90.1544725549486,63.5609759527312,0,0.814391155441367,0.817352674975969,0.817352674975969,0,0.285714285714286,0.285714285714286,0.285714285714286,13.923516232232,13.7185295234072,13.7185295234072,0.339344507806466,0.337599969866355,-0.337599969866355,3.18503336945176,3.16865941488434,-3.16865941488434,13.1654010617442,12.8576014526172,-12.8576014526172,8.81810067892421,-26.4791061656588,35.1613253917253,35.297206844583,-35.297206844583,0,0,0,5.03008470602582,4.77390763424504
Female_I_normal_360Hz,Female,I,normal,360,GFM-IAIF,grid-search,9,0,3,0.99,1.39437250818133,0.272965031132112,-25,99.1387755155263,90.9956351373263,66.2324821898879,0,0.696613004575304,0.701585525016133,0.701585525016133,0,0.103174603174603,0.166666666666667,0.166666666666667,17.7709633193091,17.8217889693445,17.8217889693445,0.356888503891886,0.358639235337184,-0.358639235337184,3.11283028619336,3.12810040503016,-3.12810040503016,15.6979328668836,15.830281530746,-15.830281530746,7.73282308484954,-23.0032922235525,30.5655323902732,30.736115308402,-30.736115308402,0,0,0,4.2577330297491,3.48220650682721
Female_I_normal_80Hz,Female,I,normal,80,GFM-IAIF,grid-search,6,0,3,0.99,0.316249042075382,0.27764978102049,-3,178.611561211134,179.03369303886,9.78873126181704,0.0666666666666667,0.174534519106207,0.169901641001116,0.169901641001116,0.0666666666666667,0.0994897959183672,0.107142857142857,-0.107142857142857,0.272043650725308,0.125983849771373,-0.125978728786166,0.228530616279777,0.223415568804452,-0.223415568804452,7.63904705974782,7.75146573948164,-7.75146573948164,2.41494836019378,0.288756655784731,-0.288756655784731,-6.79805932283002,-29.9011959800594,23.1915645003744,23.1031366572294,-23.1031366572294,0,0,0,8.22313917328978,7.98519053688311
